project,run_id,run_name,step,metric,value
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,stats/masked_frac,0.522369384765625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,time/hrs,0.0008057619465721978
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,loss/total,0.6111791133880615
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,debug/z_std,0.6588556170463562
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,loss/mse,0.4222719967365265
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,stats/psnr,3.744077205657959
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,loss/lpips,0.9445356130599976
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,0,stats/keep_prob,0.47564196586608887
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,stats/masked_frac,0.432861328125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,time/hrs,0.018580627706315783
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,loss/total,0.04273505508899689
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,debug/z_std,0.9962300658226013
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,loss/mse,0.00897008366882801
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,stats/psnr,20.472034454345703
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,loss/lpips,0.16882485151290894
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,100,stats/keep_prob,0.5668048858642578
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,stats/masked_frac,0.445587158203125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,time/hrs,0.03619183672799004
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,loss/total,0.04242754355072975
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,debug/z_std,0.9961843490600586
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,loss/mse,0.008848659694194794
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,stats/psnr,20.531225204467773
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,loss/lpips,0.1678944081068039
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,200,stats/keep_prob,0.550843358039856
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,300,stats/masked_frac,0.424774169921875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,300,time/hrs,0.05383130252361298
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,300,loss/total,0.03866460174322128
